interface,direction,clause,service_title,method_name,overload_index,return_type,arguments,exceptions,signature
FederateAmbassador,RTI-initiated callback,6.28,Confirm Interaction Transportation Type Change,confirmInteractionTransportationTypeChange,1,void,InteractionClassHandle theInteraction; TransportationTypeHandle theTransportation,FederateInternalError,"void confirmInteractionTransportationTypeChange(InteractionClassHandle theInteraction, TransportationTypeHandle theTransportation) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,6.30,Report Interaction Transportation Type,reportInteractionTransportationType,1,void,FederateHandle theFederate; InteractionClassHandle theInteraction; TransportationTypeHandle theTransportation,FederateInternalError,"void reportInteractionTransportationType(FederateHandle theFederate, InteractionClassHandle theInteraction, TransportationTypeHandle theTransportation) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,7.4,Request Attribute Ownership Assumption,requestAttributeOwnershipAssumption,1,void,ObjectInstanceHandle theObject; AttributeHandleSet offeredAttributes; byte[] userSuppliedTag,FederateInternalError,"void requestAttributeOwnershipAssumption(ObjectInstanceHandle theObject, AttributeHandleSet offeredAttributes, byte[] userSuppliedTag) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,7.5,Request Divestiture Confirmation,requestDivestitureConfirmation,1,void,ObjectInstanceHandle theObject; AttributeHandleSet offeredAttributes,FederateInternalError,"void requestDivestitureConfirmation(ObjectInstanceHandle theObject, AttributeHandleSet offeredAttributes) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,7.7,Attribute Ownership Acquisition Notification,attributeOwnershipAcquisitionNotification,1,void,ObjectInstanceHandle theObject; AttributeHandleSet securedAttributes; byte[] userSuppliedTag,FederateInternalError,"void attributeOwnershipAcquisitionNotification(ObjectInstanceHandle theObject, AttributeHandleSet securedAttributes, byte[] userSuppliedTag) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,7.10,Attribute Ownership Unavailable,attributeOwnershipUnavailable,1,void,ObjectInstanceHandle theObject; AttributeHandleSet theAttributes,FederateInternalError,"void attributeOwnershipUnavailable(ObjectInstanceHandle theObject, AttributeHandleSet theAttributes) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,7.11,Request Attribute Ownership Release,requestAttributeOwnershipRelease,1,void,ObjectInstanceHandle theObject; AttributeHandleSet candidateAttributes; byte[] userSuppliedTag,FederateInternalError,"void requestAttributeOwnershipRelease(ObjectInstanceHandle theObject, AttributeHandleSet candidateAttributes, byte[] userSuppliedTag) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,7.16,Confirm Attribute Ownership Acquisition Cancellation,confirmAttributeOwnershipAcquisitionCancellation,1,void,ObjectInstanceHandle theObject; AttributeHandleSet theAttributes,FederateInternalError,"void confirmAttributeOwnershipAcquisitionCancellation(ObjectInstanceHandle theObject, AttributeHandleSet theAttributes) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,7.18,Inform Attribute Ownership,informAttributeOwnership,1,void,ObjectInstanceHandle theObject; AttributeHandle theAttribute; FederateHandle theOwner,FederateInternalError,"void informAttributeOwnership(ObjectInstanceHandle theObject, AttributeHandle theAttribute, FederateHandle theOwner) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,7.18,Inform Attribute Ownership,attributeIsNotOwned,1,void,ObjectInstanceHandle theObject; AttributeHandle theAttribute,FederateInternalError,"void attributeIsNotOwned(ObjectInstanceHandle theObject, AttributeHandle theAttribute) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,7.18,Inform Attribute Ownership,attributeIsOwnedByRTI,1,void,ObjectInstanceHandle theObject; AttributeHandle theAttribute,FederateInternalError,"void attributeIsOwnedByRTI(ObjectInstanceHandle theObject, AttributeHandle theAttribute) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,8.3,Time Regulation Enabled,timeRegulationEnabled,1,void,LogicalTime time,FederateInternalError,void timeRegulationEnabled(LogicalTime time) throws FederateInternalError
FederateAmbassador,RTI-initiated callback,8.6,Time Constrained Enabled,timeConstrainedEnabled,1,void,LogicalTime time,FederateInternalError,void timeConstrainedEnabled(LogicalTime time) throws FederateInternalError
FederateAmbassador,RTI-initiated callback,8.13,Time Advance Grant,timeAdvanceGrant,1,void,LogicalTime theTime,FederateInternalError,void timeAdvanceGrant(LogicalTime theTime) throws FederateInternalError
FederateAmbassador,RTI-initiated callback,8.22,Request Retraction,requestRetraction,1,void,MessageRetractionHandle theHandle,FederateInternalError,void requestRetraction(MessageRetractionHandle theHandle) throws FederateInternalError
